Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Website/SW-Flow Beli Event/SW-BE04 (dummy3),Chrome 115.0.0.0,,,2023-08-13 12:09:33,2023-08-13 12:10:03,30.546s,PASSED
"openBrowser(""https://demo-app.online/"")",Chrome 115.0.0.0,,,2023-08-13 12:09:34,2023-08-13 12:09:40,6.395s,PASSED
maximizeWindow(),Chrome 115.0.0.0,Maximize current window,,2023-08-13 12:09:40,2023-08-13 12:09:40,0.119s,PASSED
"click(findTestObject(""Web - Flow Beli Event/SW-BE02/Page_Be a Profressional Talent with Coding.ID/a_Masuk""))",Chrome 115.0.0.0,,,2023-08-13 12:09:40,2023-08-13 12:09:41,0.743s,PASSED
"setText(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE04/Page_Masuk untuk dapatkan akses di Coding.ID/input_Email_email""), ""woyis90672@weishu8.com"")",Chrome 115.0.0.0,,,2023-08-13 12:09:41,2023-08-13 12:09:42,1.137s,PASSED
"setText(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE04/Page_Masuk untuk dapatkan akses di Coding.ID/input_Kata                                 _98da12""), ""password"")",Chrome 115.0.0.0,,,2023-08-13 12:09:42,2023-08-13 12:09:43,0.826s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE04/Page_Masuk untuk dapatkan akses di Coding.ID/button_Login""))",Chrome 115.0.0.0,,,2023-08-13 12:09:43,2023-08-13 12:09:44,0.973s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE04/Page_Be a Profressional Talent with Coding.ID/a_Events""))",Chrome 115.0.0.0,,,2023-08-13 12:09:44,2023-08-13 12:09:45,1.236s,PASSED
"click(findTestObject(""Web - Flow Beli Event/SW-BE04/Page_Online event bersertifikat dari prakti_f42b96/div_Day 3 Predict using Machine Learning   _e04a14""))",Chrome 115.0.0.0,,,2023-08-13 12:09:45,2023-08-13 12:09:46,1.172s,PASSED
"click(findTestObject(""Web - Flow Beli Event/SW-BE04/Page_Day 3 Predict using Machine Learning - Ziyad/a_Beli Tiket""))",Chrome 115.0.0.0,,,2023-08-13 12:09:46,2023-08-13 12:09:47,0.548s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE04/Page_Day 3 Predict using Machine Learning - Ziyad/a_Lihat                Pembelian Saya""))",Chrome 115.0.0.0,,,2023-08-13 12:09:47,2023-08-13 12:09:48,1.348s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE04/Page_Coding.ID - Cart/button_Checkout""))",Chrome 115.0.0.0,,,2023-08-13 12:09:48,2023-08-13 12:09:49,0.824s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE04/Page_Coding.ID - Cart/input_Total Pembayaran_payment_method""))",Chrome 115.0.0.0,,,2023-08-13 12:09:49,2023-08-13 12:09:50,0.786s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE04/Page_Coding.ID - Cart/button_Confirm""))",Chrome 115.0.0.0,,,2023-08-13 12:09:50,2023-08-13 12:09:50,0.701s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE04/Page_Coding.ID - Cart/a_OCTO Clicks""))",Chrome 115.0.0.0,,,2023-08-13 12:09:50,2023-08-13 12:09:54,3.397s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE04/Page_Coding.ID - Cart/button_Pay now""))",Chrome 115.0.0.0,,,2023-08-13 12:09:54,2023-08-13 12:09:55,0.950s,PASSED
delay(5),Chrome 115.0.0.0,,,2023-08-13 12:09:55,2023-08-13 12:10:00,5.014s,PASSED
"setText(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE04/Page_Midtrans Mock Payment Provider/input_Account ID_AccountId""), ""testuser00"")",Chrome 115.0.0.0,,,2023-08-13 12:10:00,2023-08-13 12:10:01,1.249s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE04/Page_Midtrans Mock Payment Provider/button_Bayar""))",Chrome 115.0.0.0,,,2023-08-13 12:10:01,2023-08-13 12:10:02,0.704s,PASSED
"verifyElementText(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE04/Page_Midtrans Mock Payment Provider/div_Transaksi Sukses""), ""Transaksi Sukses"")",Chrome 115.0.0.0,,,2023-08-13 12:10:02,2023-08-13 12:10:02,0.450s,PASSED
takeScreenshot(),Chrome 115.0.0.0,,,2023-08-13 12:10:02,2023-08-13 12:10:03,0.446s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-13 12:10:03,2023-08-13 12:10:03,0.646s,PASSED
,,,,,,,
Test Cases/Website/SW-Flow Beli Event/SW-BE05 (dummy4),Chrome 115.0.0.0,,,2023-08-13 12:10:03,2023-08-13 12:10:34,30.589s,PASSED
"openBrowser(""https://demo-app.online/"")",Chrome 115.0.0.0,,,2023-08-13 12:10:04,2023-08-13 12:10:11,7.235s,PASSED
maximizeWindow(),Chrome 115.0.0.0,Maximize current window,,2023-08-13 12:10:11,2023-08-13 12:10:11,0.128s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE05/Page_Be a Profressional Talent with Coding.ID/a_Masuk""))",Chrome 115.0.0.0,,,2023-08-13 12:10:11,2023-08-13 12:10:13,1.719s,PASSED
"setText(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE05/Page_Masuk untuk dapatkan akses di Coding.ID/input_Email_email""), ""povojo1978@v1zw.com"")",Chrome 115.0.0.0,,,2023-08-13 12:10:13,2023-08-13 12:10:14,1.115s,PASSED
"setText(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE05/Page_Masuk untuk dapatkan akses di Coding.ID/input_Kata                                 _98da12""), ""password"")",Chrome 115.0.0.0,,,2023-08-13 12:10:14,2023-08-13 12:10:15,0.781s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE05/Page_Masuk untuk dapatkan akses di Coding.ID/button_Login""))",Chrome 115.0.0.0,,,2023-08-13 12:10:15,2023-08-13 12:10:16,1.067s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE05/Page_Be a Profressional Talent with Coding.ID/a_Events""))",Chrome 115.0.0.0,,,2023-08-13 12:10:16,2023-08-13 12:10:17,1.203s,PASSED
"click(findTestObject(""Web - Flow Beli Event/SW-BE05/Page_Online event bersertifikat dari prakti_f42b96/div_Day 3 Predict using Machine Learning   _e04a14""))",Chrome 115.0.0.0,,,2023-08-13 12:10:17,2023-08-13 12:10:18,1.228s,PASSED
"click(findTestObject(""Web - Flow Beli Event/SW-BE05/Page_Day 3 Predict using Machine Learning - Ziyad/a_Beli Tiket""))",Chrome 115.0.0.0,,,2023-08-13 12:10:18,2023-08-13 12:10:19,0.693s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE05/Page_Day 3 Predict using Machine Learning - Ziyad/a_Lihat                Pembelian Saya""))",Chrome 115.0.0.0,,,2023-08-13 12:10:19,2023-08-13 12:10:22,3.191s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE05/Page_Coding.ID - Cart/button_Checkout""))",Chrome 115.0.0.0,,,2023-08-13 12:10:22,2023-08-13 12:10:23,0.716s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE05/Page_Coding.ID - Cart/input_Total Pembayaran_payment_method""))",Chrome 115.0.0.0,,,2023-08-13 12:10:23,2023-08-13 12:10:24,0.975s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE05/Page_Coding.ID - Cart/button_Confirm""))",Chrome 115.0.0.0,,,2023-08-13 12:10:24,2023-08-13 12:10:24,0.592s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE05/Page_Coding.ID - Cart/a_Danamon Online Banking""))",Chrome 115.0.0.0,,,2023-08-13 12:10:24,2023-08-13 12:10:25,0.934s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE05/Page_Coding.ID - Cart/button_Pay now""))",Chrome 115.0.0.0,,,2023-08-13 12:10:25,2023-08-13 12:10:26,0.562s,PASSED
delay(5),Chrome 115.0.0.0,,,2023-08-13 12:10:26,2023-08-13 12:10:31,5.021s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE05/Page_Midtrans Mock Payment Provider/button_Pay""))",Chrome 115.0.0.0,,,2023-08-13 12:10:31,2023-08-13 12:10:32,0.899s,PASSED
"verifyElementText(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE05/Page_Midtrans Mock Payment Provider/h1_Danamon Online""), ""Danamon Online"")",Chrome 115.0.0.0,,,2023-08-13 12:10:32,2023-08-13 12:10:32,0.476s,PASSED
"verifyElementText(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE05/Page_Midtrans Mock Payment Provider/div_Payment Success""), ""Payment Success"")",Chrome 115.0.0.0,,,2023-08-13 12:10:32,2023-08-13 12:10:33,0.489s,PASSED
takeScreenshot(),Chrome 115.0.0.0,,,2023-08-13 12:10:33,2023-08-13 12:10:33,0.507s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-13 12:10:33,2023-08-13 12:10:34,0.788s,PASSED
,,,,,,,
Test Cases/Website/SW-Flow Beli Event/SW-BE06,Chrome 115.0.0.0,,,2023-08-13 12:10:34,2023-08-13 12:10:55,20.877s,PASSED
"openBrowser(""https://demo-app.online/"")",Chrome 115.0.0.0,,,2023-08-13 12:10:34,2023-08-13 12:10:38,3.809s,PASSED
maximizeWindow(),Chrome 115.0.0.0,Maximize current window,,2023-08-13 12:10:38,2023-08-13 12:10:38,0.131s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE06/Page_Be a Profressional Talent with Coding.ID/a_Masuk""))",Chrome 115.0.0.0,,,2023-08-13 12:10:38,2023-08-13 12:10:39,1.072s,PASSED
"setText(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE06/Page_Masuk untuk dapatkan akses di Coding.ID/input_Email_email""), ""nekox80432@vreaa.com"")",Chrome 115.0.0.0,,,2023-08-13 12:10:39,2023-08-13 12:10:40,0.989s,PASSED
"setText(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE06/Page_Masuk untuk dapatkan akses di Coding.ID/input_Kata                                 _98da12""), ""password"")",Chrome 115.0.0.0,,,2023-08-13 12:10:40,2023-08-13 12:10:41,0.825s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE06/Page_Masuk untuk dapatkan akses di Coding.ID/button_Login""))",Chrome 115.0.0.0,,,2023-08-13 12:10:41,2023-08-13 12:10:42,0.980s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE06/Page_Be a Profressional Talent with Coding.ID/a_Events""))",Chrome 115.0.0.0,,,2023-08-13 12:10:42,2023-08-13 12:10:43,1.084s,PASSED
"click(findTestObject(""Web - Flow Beli Event/SW-BE06/Page_Online event bersertifikat dari prakti_f42b96/div_Day 3 Predict using Machine Learning   _e04a14""))",Chrome 115.0.0.0,,,2023-08-13 12:10:43,2023-08-13 12:10:44,1.122s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE06/Page_Day 3 Predict using Machine Learning - Ziyad/a_Beli Tiket""))",Chrome 115.0.0.0,,,2023-08-13 12:10:44,2023-08-13 12:10:45,0.615s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE06/Page_Day 3 Predict using Machine Learning - Ziyad/a_Lihat                Pembelian Saya""))",Chrome 115.0.0.0,,,2023-08-13 12:10:45,2023-08-13 12:10:48,2.624s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE06/Page_Coding.ID - Cart/button_Checkout""))",Chrome 115.0.0.0,,,2023-08-13 12:10:48,2023-08-13 12:10:48,0.845s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE06/Page_Coding.ID - Cart/input_Total Pembayaran_payment_method""))",Chrome 115.0.0.0,,,2023-08-13 12:10:48,2023-08-13 12:10:49,0.907s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE06/Page_Coding.ID - Cart/button_Confirm""))",Chrome 115.0.0.0,,,2023-08-13 12:10:49,2023-08-13 12:10:50,0.571s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE06/Page_Coding.ID - Cart/a_Indomaret""))",Chrome 115.0.0.0,,,2023-08-13 12:10:50,2023-08-13 12:10:52,2.261s,PASSED
"verifyElementText(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE06/Page_Coding.ID - Cart/span_Indomaret""), ""Indomaret"")",Chrome 115.0.0.0,,,2023-08-13 12:10:52,2023-08-13 12:10:53,0.663s,PASSED
"verifyElementText(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE06/Page_Coding.ID - Cart/div_Payment code""), ""Payment code"")",Chrome 115.0.0.0,,,2023-08-13 12:10:53,2023-08-13 12:10:54,0.738s,PASSED
takeScreenshot(),Chrome 115.0.0.0,,,2023-08-13 12:10:54,2023-08-13 12:10:54,0.478s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-13 12:10:54,2023-08-13 12:10:55,0.683s,PASSED
,,,,,,,
Test Cases/Website/SW-Flow Beli Event/SW-BE07 (dummy5),Chrome 115.0.0.0,,,2023-08-13 12:10:55,2023-08-13 12:11:26,31.313s,PASSED
"openBrowser(""https://demo-app.online/"")",Chrome 115.0.0.0,,,2023-08-13 12:10:55,2023-08-13 12:11:00,5.350s,PASSED
